ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    1    0.000    0.000    0.000    0.000 __init__.py:172(c_ulong)
    1    0.000    0.000    0.000    0.000 __init__.py:181(c_int)
    1    0.000    0.000    0.016    0.016 __init__.py:184(<module>)
    1    0.000    0.000    0.000    0.000 __init__.py:185(c_uint)
    2    0.000    0.000    0.000    0.000 __init__.py:187(_checkLevel)
    1    0.000    0.000    0.000    0.000 __init__.py:189(c_float)
    2    0.000    0.000    0.002    0.001 __init__.py:19(<module>)
    1    0.000    0.000    0.000    0.000 __init__.py:193(c_double)
    1    0.000    0.000    0.007    0.007 __init__.py:197(_sanity_check)
    1    0.000    0.000    0.000    0.000 __init__.py:197(c_longdouble)
    1    0.000    0.000    0.000    0.000 __init__.py:2059(NullHandler)
    1    0.000    0.000    0.027    0.027 __init__.py:21(<module>)
    1    0.000    0.000    0.000    0.000 __init__.py:210(<listcomp>)
    1    0.000    0.000    0.000    0.000 __init__.py:212(_acquireLock)
    1    0.000    0.000    0.000    0.000 __init__.py:218(c_ubyte)
   37    0.000    0.000    0.000    0.000 __init__.py:22(<genexpr>)
    1    0.000    0.000    0.016    0.016 __init__.py:220(<module>)
    1    0.000    0.000    0.000    0.000 __init__.py:221(_releaseLock)
    1    0.000    0.000    0.000    0.000 __init__.py:225(<listcomp>)
    1    0.000    0.000    0.000    0.000 __init__.py:225(c_byte)
    1    0.000    0.000    0.000    0.000 __init__.py:230(c_char)
    1    0.000    0.000    0.000    0.000 __init__.py:235(c_char_p)
    1    0.000    0.000    0.004    0.004 __init__.py:24(<module>)
    1    0.000    0.000    0.000    0.000 __init__.py:241(c_void_p)
    1    0.000    0.000    0.000    0.000 __init__.py:245(<listcomp>)
    1    0.000    0.000    0.000    0.000 __init__.py:246(_register_at_fork_acquire_release)
    1    0.000    0.000    0.000    0.000 __init__.py:246(c_bool)
    1    0.000    0.000    0.000    0.000 __init__.py:251(c_wchar_p)
    1    0.000    0.000    0.000    0.000 __init__.py:256(c_wchar)
    1    0.000    0.000    0.000    0.000 __init__.py:259(_reset_cache)
    1    0.000    0.000    0.000    0.000 __init__.py:261(Error)
    1    0.000    0.000    0.001    0.001 __init__.py:27(<module>)
    1    0.000    0.000    0.000    0.000 __init__.py:277(NoSuchProcess)
    1    0.000    0.000    0.000    0.000 __init__.py:281(LogRecord)
    1    0.000    0.000    0.000    0.000 __init__.py:295(ZombieProcess)
    1    0.000    0.000    0.004    0.004 __init__.py:3(<module>)
   14    0.000    0.000    0.000    0.000 __init__.py:31(register_func)
    1    0.000    0.000    0.000    0.000 __init__.py:311(CDLL)
   56    0.003    0.000    0.008    0.000 __init__.py:316(namedtuple)
    1    0.000    0.000    0.000    0.000 __init__.py:319(AccessDenied)
    1    0.000    0.000    0.000    0.000 __init__.py:332(__init__)
    1    0.000    0.000    0.000    0.000 __init__.py:336(TimeoutExpired)
    1    0.000    0.000    0.000    0.000 __init__.py:350(_FuncPtr)
    1    0.000    0.000    0.000    0.000 __init__.py:379(PyDLL)
    1    0.000    0.000    0.041    0.041 __init__.py:382(<module>)
    6    0.000    0.000    0.000    0.000 __init__.py:384(_assert_pid_not_reused)
  330    0.000    0.000    0.000    0.000 __init__.py:388(<genexpr>)
    1    0.000    0.000    0.007    0.007 __init__.py:41(<module>)
    1    0.000    0.000    0.000    0.000 __init__.py:410(<listcomp>)
    1    0.000    0.000    0.000    0.000 __init__.py:412(Process)
    1    0.000    0.000    0.000    0.000 __init__.py:419(LibraryLoader)
    1    0.000    0.000    0.000    0.000 __init__.py:420(PercentStyle)
    2    0.000    0.000    0.000    0.000 __init__.py:420(__init__)
    1    0.000    0.000    0.000    0.000 __init__.py:426(__init__)
    1    0.000    0.000    0.000    0.000 __init__.py:435(StrFormatStyle)
    1    0.000    0.000    0.000    0.000 __init__.py:444(StringTemplateStyle)
    2    0.000    0.000    0.012    0.006 __init__.py:45(<module>)
    1    0.000    0.000    0.000    0.000 __init__.py:468(Formatter)
    3    0.000    0.000    0.000    0.000 __init__.py:481(PYFUNCTYPE)
    3    0.000    0.000    0.000    0.000 __init__.py:482(CFunctionType)
    4    0.000    0.000    0.000    0.000 __init__.py:489(cast)
    1    0.000    0.000    0.000    0.000 __init__.py:513(__init__)
    1    0.000    0.000    0.001    0.001 __init__.py:52(<module>)
    1    0.000    0.000    0.113    0.113 __init__.py:57(<module>)
    1    0.000    0.000    0.007    0.007 __init__.py:635(<module>)
    1    0.000    0.000    0.000    0.000 __init__.py:64(<listcomp>)
    1    0.000    0.000    0.000    0.000 __init__.py:643(BufferingFormatter)
    1    0.000    0.000    0.000    0.000 __init__.py:660(<listcomp>)
    1    0.000    0.000    0.000    0.000 __init__.py:685(Filter)
    1    0.000    0.000    0.018    0.018 __init__.py:7(<module>)
    1    0.000    0.000    0.000    0.000 __init__.py:722(Filterer)
    2    0.000    0.000    0.000    0.000 __init__.py:727(__init__)
    8    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
    1    0.000    0.000    0.000    0.000 __init__.py:794(_addHandlerRef)
    1    0.000    0.000    0.003    0.003 __init__.py:8(<module>)
    1    0.000    0.000    0.000    0.000 __init__.py:804(Handler)
    1    0.000    0.000    0.000    0.000 __init__.py:813(__init__)
    1    0.000    0.000    0.000    0.000 __init__.py:842(createLock)
    2    0.000    0.000    0.089    0.045 __init__.py:86(<module>)
    1    0.000    0.000    0.000    0.000 __init__.py:9(<module>)
    1    0.000    0.000    0.007    0.007 __init__.py:94(<module>)
    1    0.000    0.000    0.000    0.000 __init__.py:97(<listcomp>)
    8    0.000    0.000    0.000    0.000 __init__.py:99(CFunctionType)
    1    0.000    0.000    0.000    0.000 __init__.py:991(StreamHandler)
    1    0.000    0.000    0.000    0.000 _add_newdocs.py:1(<module>)
    1    0.000    0.000    0.003    0.003 _add_newdocs.py:10(<module>)
    1    0.000    0.000    0.000    0.000 _add_newdocs.py:6783(numeric_type_aliases)
   18    0.000    0.000    0.000    0.000 _add_newdocs.py:6784(type_aliases_gen)
   19    0.000    0.000    0.000    0.000 _add_newdocs.py:6819(add_newdoc_for_scalar_type)
   27    0.000    0.000    0.000    0.000 _add_newdocs.py:6824(<genexpr>)
   36    0.000    0.000    0.000    0.000 _add_newdocs.py:6825(<genexpr>)
    1    0.000    0.000    0.000    0.000 _basinhopping.py:15(Storage)
    1    0.000    0.000    0.000    0.000 _basinhopping.py:183(AdaptiveStepsize)
    1    0.000    0.000    0.000    0.000 _basinhopping.py:250(RandomDisplacement)
    1    0.000    0.000    0.000    0.000 _basinhopping.py:273(MinimizerWrapper)
    1    0.000    0.000    0.000    0.000 _basinhopping.py:289(Metropolis)
    1    0.000    0.000    0.000    0.000 _basinhopping.py:3(<module>)
    1    0.000    0.000    0.000    0.000 _basinhopping.py:37(BasinHoppingRunner)
    1    0.000    0.000    0.071    0.071 _bvp.py:1(<module>)
    1    0.000    0.000    0.000    0.000 _bvp.py:519(BVPResult)
    1    0.000    0.000    0.001    0.001 _ccallback.py:1(<module>)
    1    0.000    0.000    0.000    0.000 _ccallback.py:26(LowLevelCallable)
    1    0.000    0.000    0.000    0.000 _ccallback.py:9(CData)
    1    0.000    0.000    0.000    0.000 _collections_abc.py:349(__subclasshook__)
    1    0.000    0.000    0.000    0.000 _collections_abc.py:657(get)
    2    0.000    0.000    0.000    0.000 _collections_abc.py:664(__contains__)
    1    0.000    0.000    0.000    0.000 _collections_abc.py:72(_check_methods)
    1    0.000    0.000    0.000    0.000 _common.py:130(NicDuplex)
    1    0.000    0.000    0.000    0.000 _common.py:142(BatteryTime)
    3    0.000    0.000    0.000    0.000 _common.py:280(memoize)
    3    0.000    0.000    0.000    0.000 _common.py:294(wrapper)
    7    0.000    0.000    0.000    0.000 _common.py:312(memoize_when_activated)
    1    0.000    0.000    0.000    0.000 _common.py:467(deprecated_method)
    1    0.000    0.000    0.000    0.000 _common.py:471(outer)
    1    0.000    0.000    0.000    0.000 _common.py:485(_WrapNumbers)
    1    0.000    0.000    0.000    0.000 _common.py:490(__init__)
    1    0.000    0.000    0.008    0.008 _common.py:5(<module>)
    3    0.000    0.000    0.000    0.000 _common.py:586(open_binary)
    2    0.000    0.000    0.000    0.000 _common.py:624(get_procfs_path)
    1    0.000    0.000    0.005    0.005 _compat.py:5(<module>)
   43    0.000    0.000    0.000    0.000 _compat_pickle.py:165(<genexpr>)
   85    0.000    0.000    0.000    0.000 _compat_pickle.py:167(<genexpr>)
    1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
    1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
    1    0.000    0.000    0.000    0.000 _compression.py:33(DecompressReader)
    1    0.000    0.000    0.000    0.000 _compression.py:9(BaseStream)
    1    0.000    0.000    0.000    0.000 _constraints.py:1(<module>)
    1    0.000    0.000    0.000    0.000 _constraints.py:103(LinearConstraint)
    1    0.000    0.000    0.000    0.000 _constraints.py:11(NonlinearConstraint)
    1    0.000    0.000    0.000    0.000 _constraints.py:141(Bounds)
    1    0.000    0.000    0.000    0.000 _constraints.py:172(PreparedConstraint)
    1    0.000    0.000    0.000    0.000 _datasource.py:142(_FileOpeners)
    1    0.000    0.000    0.000    0.000 _datasource.py:166(__init__)
    1    0.000    0.000    0.000    0.000 _datasource.py:269(DataSource)
    1    0.000    0.000    0.000    0.000 _datasource.py:35(<module>)
    1    0.000    0.000    0.000    0.000 _datasource.py:627(Repository)
    1    0.000    0.000    0.000    0.000 _decomp_ldl.py:1(<module>)
    1    0.000    0.000    0.000    0.000 _decomp_polar.py:1(<module>)
    1    0.000    0.000    0.000    0.000 _decomp_qz.py:1(<module>)
    1    0.000    0.000    0.002    0.002 _differentiable_functions.py:1(<module>)
    1    0.000    0.000    0.000    0.000 _differentiable_functions.py:12(ScalarFunction)
    1    0.000    0.000    0.000    0.000 _differentiable_functions.py:196(VectorFunction)
    1    0.000    0.000    0.000    0.000 _differentiable_functions.py:457(LinearVectorFunction)
    1    0.000    0.000    0.000    0.000 _differentiable_functions.py:506(IdentityVectorFunction)
    1    0.000    0.000    0.000    0.000 _differentialevolution.py:1003(_FunctionWrapper)
    1    0.000    0.000    0.000    0.000 _differentialevolution.py:277(DifferentialEvolutionSolver)
    1    0.000    0.000    0.000    0.000 _differentialevolution.py:4(<module>)
    2    0.000    0.000    0.006    0.003 _distributor_init.py:10(<module>)
    1    0.000    0.000    0.000    0.000 _distributor_init.py:13(RTLD_for_MKL)
    1    0.000    0.000    0.000    0.000 _distributor_init.py:14(__init__)
    1    0.000    0.000    0.004    0.004 _distributor_init.py:17(__enter__)
    1    0.000    0.000    0.000    0.000 _distributor_init.py:28(__exit__)
   16    0.000    0.000    0.000    0.000 _dtype.py:36(_kind_name)
    1    0.000    0.000    0.000    0.000 _dtype.py:5(<module>)
    1    0.000    0.000    0.000    0.000 _dtype_ctypes.py:24(<module>)
   13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:69(_from_ctypes_scalar)
   13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:97(dtype_from_ctypes_type)
    1    0.000    0.000    0.000    0.000 _dual_annealing.py:119(EnergyState)
    1    0.000    0.000    0.000    0.000 _dual_annealing.py:202(StrategyChain)
    1    0.000    0.000    0.000    0.000 _dual_annealing.py:22(VisitingDistribution)
    1    0.000    0.000    0.000    0.000 _dual_annealing.py:348(ObjectiveFunWrapper)
    1    0.000    0.000    0.000    0.000 _dual_annealing.py:366(LocalSearchWrapper)
    1    0.000    0.000    0.000    0.000 _dual_annealing.py:8(<module>)
    1    0.000    0.000    0.000    0.000 _ellip_harm.py:1(<module>)
    1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
    1    0.000    0.000    0.000    0.000 _endian.py:23(_swapped_meta)
    1    0.000    0.000    0.000    0.000 _endian.py:46(BigEndianStructure)
    1    0.000    0.000    0.000    0.000 _expm_frechet.py:1(<module>)
    1    0.000    0.000    0.000    0.000 _expm_multiply.py:2(<module>)
    1    0.000    0.000    0.000    0.000 _expm_multiply.py:305(LazyOperatorNormInfo)
    1    0.000    0.000    0.000    0.000 _gcrotmk.py:4(<module>)
    1    0.000    0.000    0.000    0.000 _globals.py:17(<module>)
    1    0.000    0.000    0.000    0.000 _globals.py:32(ModuleDeprecationWarning)
    1    0.000    0.000    0.000    0.000 _globals.py:46(VisibleDeprecationWarning)
    1    0.000    0.000    0.000    0.000 _globals.py:59(_NoValueType)
    1    0.000    0.000    0.000    0.000 _globals.py:67(__new__)
    9    0.000    0.000    0.000    0.000 _globals.py:77(__repr__)
    1    0.000    0.000    0.000    0.000 _hessian_update_strategy.py:1(<module>)
    1    0.000    0.000    0.000    0.000 _hessian_update_strategy.py:104(FullHessianUpdateStrategy)
    1    0.000    0.000    0.000    0.000 _hessian_update_strategy.py:112(__init__)
    1    0.000    0.000    0.000    0.000 _hessian_update_strategy.py:12(HessianUpdateStrategy)
    1    0.000    0.000    0.000    0.000 _hessian_update_strategy.py:240(BFGS)
    1    0.000    0.000    0.000    0.000 _hessian_update_strategy.py:275(__init__)
    1    0.000    0.000    0.000    0.000 _hessian_update_strategy.py:378(SR1)
    1    0.000    0.000    0.000    0.000 _hungarian.py:10(<module>)
    1    0.000    0.000    0.000    0.000 _hungarian.py:121(_Hungary)
  101    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
   39    0.000    0.000    0.000    0.000 _inspect.py:142(formatargspec)
    7    0.000    0.000    0.000    0.000 _inspect.py:144(<lambda>)
    5    0.000    0.000    0.000    0.000 _inspect.py:145(<lambda>)
   62    0.000    0.000    0.000    0.000 _inspect.py:146(<lambda>)
   44    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
   44    0.000    0.000    0.000    0.000 _inspect.py:28(isfunction)
   39    0.000    0.000    0.000    0.000 _inspect.py:43(iscode)
   39    0.000    0.000    0.000    0.000 _inspect.py:67(getargs)
    1    0.000    0.000    0.000    0.000 _inspect.py:7(<module>)
   44    0.000    0.000    0.000    0.000 _inspect.py:98(getargspec)
    1    0.000    0.000    0.000    0.000 _internal.py:204(dummy_ctype)
    1    0.000    0.000    0.000    0.000 _internal.py:216(_getintp_ctype)
    1    0.000    0.000    0.000    0.000 _internal.py:239(_missing_ctypes)
    1    0.000    0.000    0.000    0.000 _internal.py:243(c_void_p)
    1    0.000    0.000    0.000    0.000 _internal.py:248(_unsafe_first_element_pointer)
    1    0.000    0.000    0.000    0.000 _internal.py:288(_ctypes)
    1    0.000    0.000    0.000    0.000 _internal.py:559(_Stream)
    1    0.000    0.000    0.001    0.001 _internal.py:6(<module>)
    1    0.000    0.000    0.000    0.000 _internal.py:799(TooHardError)
    1    0.000    0.000    0.000    0.000 _internal.py:803(AxisError)
   54    0.000    0.000    0.000    0.000 _internal.py:840(_ufunc_doc_signature_formatter)
   93    0.000    0.000    0.000    0.000 _internal.py:851(<genexpr>)
    9    0.000    0.000    0.000    0.000 _internal.py:861(<genexpr>)
   13    0.000    0.000    0.000    0.000 _internal.py:886(npy_ctypes_check)
    1    0.000    0.000    0.000    0.000 _internal.py:899(recursive)
    1    0.000    0.000    0.000    0.000 _iotools.py:170(LineSplitter)
    1    0.000    0.000    0.000    0.000 _iotools.py:270(NameValidator)
    1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
    1    0.000    0.000    0.000    0.000 _iotools.py:464(ConverterError)
    1    0.000    0.000    0.000    0.000 _iotools.py:472(ConverterLockError)
